"selfingrate"	"delta"	"cost"	"mu"	"sigma"	"gen"	"popsize"	"nsampled"	"seed"	"generation"	"param"	"means"
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"6180892646882747572"	25000	"intercept"	0.51200509
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"6180892646882747572"	30000	"slope"	0.03718265294
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"6180892646882747572"	30000	"intercept"	0.472070415
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"6180892646882747572"	35000	"slope"	0.058937314125
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"6180892646882747572"	35000	"intercept"	0.463359475
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"6180892646882747572"	40000	"slope"	-0.022354112985
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"6180892646882747572"	40000	"intercept"	0.51344725
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"6180892646882747572"	45000	"slope"	-0.02542147571575
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"6180892646882747572"	45000	"intercept"	0.512273135
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"6180892646882747572"	50000	"slope"	-0.006708712905
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"6180892646882747572"	50000	"intercept"	0.498512765
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"6180892646882747572"	55000	"slope"	-0.0209297487495
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"6180892646882747572"	55000	"intercept"	0.52307952
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"6180892646882747572"	60000	"slope"	-0.0661944605
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"6180892646882747572"	60000	"intercept"	0.541311995
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"6180892646882747572"	65000	"slope"	-0.03520367925
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"6180892646882747572"	65000	"intercept"	0.525529675
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"6180892646882747572"	70000	"slope"	0.0114927367
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"6180892646882747572"	70000	"intercept"	0.487949325
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"6180892646882747572"	75000	"slope"	-0.00473768825
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"6180892646882747572"	75000	"intercept"	0.5089779
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"6180892646882747572"	80000	"slope"	0.02664214125
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"6180892646882747572"	80000	"intercept"	0.48285816
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"6180892646882747572"	85000	"slope"	0.015478968185
